Слово,Частота встреч в раз,Частота встреч в %
начались,12,0.0
напряженные,2,0.0
вытянута,1,0.0
улица,2,0.0
отделялись,3,0.0
павлоградцы,7,0.0
пришедшие,6,0.0
одинаковом,1,0.0
листьям,2,0.0
испуганные,11,0.0
суеты,4,0.0
подвигавшаяся,1,0.0
группа,6,0.0
безветренный,1,0.0
легкая,3,0.0
струя,5,0.0
заколебала,1,0.0
флюгера,2,0.0
пик,2,0.0
распущенные,1,0.0
знамена,13,0.0
затрепавшиеся,1,0.0
древки,1,0.0
государей,7,0.0
петухи,3,0.0
заре,6,0.0
повторились,1,0.0
затихло,8,0.0
трубачей,2,0.0
кавалерийского,2,0.0
игравшие,2,0.0
299,17,0.0
трубачи,1,0.0
приближению,3,0.0
ласковый,8,0.0
гаркнул,1,0.0
урра,11,0.0
оглушительно,1,0.0
ужаснулись,1,0.0
численности,3,0.0
громады,1,0.0
самозабвения,3,0.0
могущества,2,0.0
страстного,2,0.0
влечения,2,0.0
причиной,39,0.01
торжества,9,0.0
громада,1,0.0
связанный,1,0.0
ничтожная,2,0.0
песчинка,1,0.0
преступление,10,0.0
величайшее,4,0.0
геройство,5,0.0
трепетать,1,0.0
замирать,1,0.0
гремело,1,0.0
марша,2,0.0
усиливаясь,2,0.0
прибывая,1,0.0
оглушительный,1,0.0
безмолвности,1,0.0
неподвижности,5,0.0
безжизненным,1,0.0
сравнивался,1,0.0
гремел,1,0.0
присоединяясь,1,0.0
реву,1,0.0
оглушительном,1,0.0
неподвижных,1,0.0
окаменевших,1,0.0
четвероугольниках,1,0.0
всадников,10,0.0
безраздельно,1,0.0
сосредоточено,2,0.0
гвардейском,2,0.0
треугольной,2,0.0
шляпе,19,0.0
надетой,5,0.0
негромким,3,0.0
привлекал,2,0.0
зоркими,1,0.0
приближением,5,0.0
300,19,0.0
всякая,11,0.0
государе,9,0.0
сильнейший,3,0.0
прилив,5,0.0
вызвал,11,0.0
заслужили,2,0.0
георгиевские,2,0.0
достойны,1,0.0
надсаживая,1,0.0
закричали,10,0.0
седлу,1,0.0
повредить,3,0.0
восторг,13,0.0
нерешимости,3,0.0
нерешительность,7,0.0
величественною,2,0.0
обворожительною,3,0.0
продолжалась,5,0.0
узким,3,0.0
носком,1,0.0
сапога,1,0.0
носили,3,0.0
паха,2,0.0
энглизированной,3,0.0
гнедой,2,0.0
кобылы,2,0.0
перчатке,3,0.0
подобрала,2,0.0
заколыхавшимся,1,0.0
морем,3,0.0
301,18,0.0
плюмаж,1,0.0
окружавшей,5,0.0
распущенно,1,0.0
сидящего,4,0.0
вчерашняя,1,0.0
ссора,1,0.0
вызывать,2,0.0
ссоры,2,0.0
обиды,5,0.0
прощаю,2,0.0
проходить,3,0.0
церемониальным,1,0.0
купленном,2,0.0
бедуине,2,0.0
замке,3,0.0
доезжая,2,0.0
отличный,5,0.0
ездок,3,0.0
всадил,2,0.0
бедуину,1,0.0
довел,6,0.0
бешеного,2,0.0
аллюра,1,0.0
разгоряченный,2,0.0
бедуин,3,0.0
подогнув,1,0.0
пенящуюся,1,0.0
морду,4,0.0
отделив,1,0.0
хвост,10,0.0
летя,1,0.0
касаясь,1,0.0
земли,26,0.0
вскидывая,1,0.0
переменяя,9,0.0
чувствовавший,2,0.0
завалив,1,0.0
куском,2,0.0
нахмуренным,6,0.0
блаженным,1,0.0
чортом,3,0.0
кутузовские,1,0.0
сходиться,4,0.0
группами,2,0.0
наградах,2,0.0
австрийцах,2,0.0
эссена,2,0.0
нашу,19,0.0
кружках,7,0.0
восторгались,1,0.0
желали,12,0.0
предводительством,5,0.0
302,33,0.01
выигранных,1,0.0
напутствуемый,1,0.0
пожеланиями,1,0.0
лаской,2,0.0
наилучшее,2,0.0
казавшееся,2,0.0
заманчивым,1,0.0
присылает,2,0.0
кланяться,5,0.0
имеющему,5,0.0
упускать,1,0.0
ольмюце,2,0.0
застал,14,0.0
свитами,1,0.0
придворных,13,0.0
усилил,2,0.0
верховному,1,0.0
щегольской,4,0.0
высшие,11,0.0
сновавшие,1,0.0
щегольских,1,0.0
экипажах,1,0.0
плюмажах,1,0.0
лентах,4,0.0
неизмеримо,3,0.0
гвардейского,6,0.0
помещении,1,0.0
денщики,7,0.0
шляется,2,0.0
числа,53,0.01
занимаемый,3,0.0
танцевали,1,0.0
кроватей,1,0.0
разнородная,1,0.0
мебель,3,0.0
персидском,2,0.0
красный,14,0.0
303,12,0.0
присевшим,1,0.0
вальс,3,0.0
подпевал,1,0.0
досадливо,4,0.0
поблагодарил,4,0.0
взошел,4,0.0
учтивой,1,0.0
выслушивал,5,0.0
вытяжке,1,0.0
подобострастным,2,0.0
багрового,2,0.0
мольбою,2,0.0
выслушать,5,0.0
субординации,4,0.0
дисциплины,6,0.0
написана,3,0.0
уставе,5,0.0
существенная,2,0.0
субординация,1,0.0
заставляла,11,0.0
затянутого,1,0.0
дожидаться,8,0.0
удобным,4,0.0
друбецким,1,0.0
впредь,2,0.0
писанной,1,0.0
неписанной,2,0.0
прапорщика,3,0.0
провозился,1,0.0
немцами,4,0.0
поверять,2,0.0
диспозицию,11,0.0
возьмутся,1,0.0
аккуратность,2,0.0
304,16,0.0
общеизвестном,1,0.0
вейротера,15,0.0
переговорим,1,0.0
разделявший,1,0.0
понятий,5,0.0
уперся,2,0.0
дерзкого,1,0.0
помешавшего,1,0.0
нетерпением,11,0.0
ожидал,38,0.01
возвратится,2,0.0
клавикордами,2,0.0
наговорит,1,0.0
любезностей,2,0.0
ординарцев,1,0.0
долгоруков,29,0.01
значим,1,0.0
сосредоточивается,4,0.0
долгорукову,6,0.0
сходить,1,0.0
поближе,8,0.0
приходилось,6,0.0
руководить,12,0.0
светском,1,0.0
успехе,4,0.0
вблизи,13,0.0
среды,4,0.0
давала,16,0.0
притягивала,2,0.0
305,25,0.0
взошли,1,0.0
ольмюцкий,1,0.0
императорами,2,0.0
приближенными,1,0.0
участвовали,3,0.0
члены,19,0.0
противность,9,0.0
мнению,31,0.01
шварценберга,1,0.0
наступать,4,0.0
генеральное,4,0.0
долгорукова,7,0.0
квартиры,9,0.0
обаянием,1,0.0
сегодняшнего,2,0.0
победоносного,1,0.0
медлителей,1,0.0
советовавших,1,0.0
наступая,2,0.0
единодушно,1,0.0
заглушены,1,0.0
опровергнуты,1,0.0
несомненными,1,0.0
доказательствами,2,0.0
наступления,12,0.0
толковалось,2,0.0
прошедшим,8,0.0
превосходившие,1,0.0
стянуты,1,0.0
одушевлены,1,0.0
рвались,1,0.0
стратегический,2,0.0
вейротеру,5,0.0
руководившему,1,0.0
прошлом,3,0.0
маневрах,2,0.0
полях,6,0.0
сразиться,1,0.0
передана,5,0.0
картах,3,0.0
предлежащая,1,0.0
ослабленный,1,0.0
предпринимал,1,0.0
горячих,2,0.0
сторонников,1,0.0
гордый,8,0.0
одержанною,1,0.0
покровительствуемого,1,0.0
высказывания,2,0.0
следствием,2,0.0
победоносно,3,0.0
отрывочно,2,0.0
306,21,0.0
точность,1,0.0
подробность,2,0.0
предвидение,1,0.0
возможностей,1,0.0
выгодней,1,0.0
находимся,3,0.0
выдумать,5,0.0
отчетливости,1,0.0
латынь,1,0.0
традиридира,1,0.0
забавнее,1,0.0
засмеявшись,3,0.0
адресовать,2,0.0
консулу,1,0.0
буонапарту,1,0.0
признавать,5,0.0
разница,5,0.0
узурпатору,1,0.0
серьезный,5,0.0
адреса,1,0.0
остроумный,2,0.0
chef,15,0.0
gouvernement,1,0.0
français,18,0.0
понравится,2,0.0
обедал,12,0.0
307,18,0.0
теперешнего,2,0.0
утонченного,2,0.0
итальянского,5,0.0
актерства,1,0.0
марко,6,0.0
вым,1,0.0
словоохотливый,1,0.0
ва,6,0.0
просителем,1,0.0
докончить,2,0.0
досада,6,0.0
добродушного,2,0.0
искреннего,2,0.0
легкомыслия,1,0.0
волновала,5,0.0
близости,13,0.0
соприкосновении,1,0.0
пружинами,1,0.0
громадными,3,0.0
покорною,1,0.0
ничтожною,2,0.0
долгоруковым,4,0.0
выходившего,2,0.0
штатском,3,0.0
резкою,1,0.0
чертой,3,0.0
выставленной,1,0.0
портя,3,0.0
особенную,15,0.0
изворотливость,1,0.0
долгорукому,1,0.0
вглядываться,2,0.0
идя,6,0.0
308,20,0.0
злоба,5,0.0
стороной,11,0.0
замечательнейших,2,0.0
неприятнейших,1,0.0
иностранных,21,0.0
адам,2,0.0
чарторижский,3,0.0
решают,2,0.0
аустерлицкого,9,0.0
измайловском,1,0.0
двинулся,3,0.0
ночлега,5,0.0
версты,11,0.0
батальоны,6,0.0
артиллерией,4,0.0
адъютантами,9,0.0
внутренняя,7,0.0
борьба,14,0.0
преодолевал,2,0.0
мечтания,8,0.0
гусарски,1,0.0
оставлен,3,0.0
резерве,2,0.0
тоскливо,1,0.0
пальбу,2,0.0
привозимых,2,0.0
кавалеристов,9,0.0
небольшое,8,0.0
проходившие,1,0.0
блестящей,10,0.0
занятии,3,0.0
вишау,6,0.0
взятии,3,0.0
ясный,7,0.0
солнечный,2,0.0
сильного,6,0.0
ночного,3,0.0
заморозка,2,0.0
совпадал,1,0.0
участвовавших,4,0.0
ехавших,1,0.0
309,12,0.0
больнее,4,0.0
щемило,1,0.0
перестрадавшего,1,0.0
предшествующий,3,0.0
пробывшего,1,0.0
выпьем,1,0.0
фляжкой,1,0.0
закуской,2,0.0
кружком,6,0.0
закусывая,1,0.0
погребца,1,0.0
ведут,9,0.0
пленного,11,0.0
драгуна,4,0.0
взятую,1,0.0
рослую,1,0.0
изволь,1,0.0
окружили,16,0.0
драгун,8,0.0
альзасец,2,0.0
caporal,3,0.0
захватить,6,0.0
попоны,1,0.0
прибавлял,3,0.0
fasse,2,0.0
cheval1,1,0.0
ласкал,3,0.0
извинялся,1,0.0
исправность,1,0.0
заботливость,1,0.0
донес,4,0.0
ариергард,2,0.0
свежести,3,0.0
чуждо,1,0.0
отдали,10,0.0
червонца,1,0.0
богатый,7,0.0
успокоил,1,0.0
алё,2,0.0
лошадку,4,0.0
310,27,0.0
гусарами,10,0.0
побежало,3,0.0
заторопилось,1,0.0
султанами,1,0.0
шляпах,2,0.0
добежал,2,0.0
сожаление,5,0.0
неучастии,1,0.0
будничное,1,0.0
кругу,11,0.0
приглядевшихся,1,0.0
поглощен,2,0.0
происходящего,2,0.0
вознагражденным,1,0.0
любовник,5,0.0
дождавшийся,1,0.0
оглядываться,9,0.0
восторженным,3,0.0
приближение,4,0.0
приближавшейся,1,0.0
кавалькады,1,0.0
радостнее,4,0.0
праздничнее,1,0.0
подвигалось,1,0.0
распространяя,4,0.0
величественного,6,0.0
захваченным,1,0.0
лучами,4,0.0
спокойный,9,0.0
величественный,2,0.0
простой,13,0.0
мертвая,3,0.0
тишина,7,0.0
huzards,2,0.0
pavlograd,2,0.0
réserve,3,0.0
нечеловеческого,2,0.0
поровнялся,2,0.0
прекраснее,1,0.0
сияло,8,0.0
веселостью,1,0.0
молодостью,3,0.0
невинною,1,0.0
напоминало,5,0.0
ребяческую,1,0.0
четырнадцатилетнюю,1,0.0
резвость,2,0.0
секунды,5,0.0
павлоградские,3,0.0
резерв,1,0.0
311,15,0.0
лился,2,0.0
присутствовать,5,0.0
представления,15,0.0
отделившись,4,0.0
авангарду,2,0.0
счастливом,8,0.0
исходе,4,0.0
состоявшее,2,0.0
захвачен,3,0.0
представлено,3,0.0
побеждены,2,0.0
дивизион,1,0.0
потребовали,3,0.0
немецком,2,0.0
городке,2,0.0
площади,19,0.0
сильная,6,0.0
подобрать,2,0.0
невоенных,1,0.0
рыжей,3,0.0
склонившись,1,0.0
грациозным,4,0.0
лежащего,9,0.0
нечист,1,0.0
груб,1,0.0
гадок,2,0.0
оскорбила,1,0.0
содрогнулись,1,0.0
пробежавшего,1,0.0
мороза,7,0.0
сутуловатые,1,0.0
судорожно,5,0.0
шпорой,3,0.0
приученная,1,0.0
слезший,2,0.0
класть,7,0.0
появившиеся,1,0.0
страдая,4,0.0
наполнившие,1,0.0
отъезжая,4,0.0
чарторижскому,1,0.0
312,21,0.0
авангарда,1,0.0
расположились,1,0.0
неприятельской,8,0.0
уступавшей,1,0.0
малейшей,4,0.0
перестрелке,1,0.0
обещаны,1,0.0
роздана,1,0.0
двойная,3,0.0
порция,1,0.0
трещали,7,0.0
бивачные,1,0.0
раздавались,5,0.0
праздновал,1,0.0
майоры,1,0.0
выпивший,1,0.0
пирушки,1,0.0
тост,2,0.0
официальных,1,0.0
обворожительного,2,0.0
пьем,1,0.0
верную,6,0.0
спуску,1,0.0
шенграбеном,4,0.0
умрем,4,0.0
